Roll Number,English,Mathematics-I,DigitalLogicSystem,ComputerFundamentals&Application,ProgrammingLogic&Techniques,SGPA
21530001,,,B-,,,-
21530002,,C+,F,,,-
21530003,,C+,F,,,-
21530005,,B-,,C,C-,-
21530006,,C,C+,,,-
21530007,,F,,C,F,-
21530008,,C,,B-,F,-
21530009,,F,F,,,-
21530012,,F,F,C,,-
21530014,,C,,,,-
21530016,,,F,,,-
21530018,,C+,F,,,-
21530021,,Abs,Abs,,,-
21530036,,,C,,,-
21530051,,C,F,,,-
21530054,,,Abs,,,-
21530057,C,Abs,F,,,-
21530058,B-,,,,,-
21530059,D+,,,D+,F,-
21530061,,,F,,,-
21530067,,,,,Abs,-
21530070,,C+,Abs,C-,,-
21530076,C-,,F,,,-
21530079,,,F,,,-
21530085,Abs,Abs,Abs,,,-
21530090,,,F,,,-
21530103,,,,C-,Abs,-
21530104,,C,F,,,-
21530105,C,,,D+,Abs,-
21530108,,,,C-,F,-
21530109,,Abs,F,,,-
21530111,,,F,,,-
21530113,,,B-,,,-
21530114,,F,Expelled,,,-
21530116,,,C+,,,-
21530119,,,F,,,-
21530122,,,,B-,,-
21530124,,,C,,,-
21530126,C+,C,F,,,-
21530127,,,B,,,-
21530128,,,C,,,-
21530130,,,F,,,-
21530133,,,F,,,-
21530139,,,Abs,,,-
21530140,,,C,,,-
21530143,,F,F,,,-
21530146,,,C,,,-
21530147,,F,F,,,-
21530155,,,F,,,-
21530157,,,B-,,,-
21530159,,B-,F,,,-
21530162,,F,F,,F,-
21530164,,Abs,Abs,,,-
21530165,,,C+,,,-
21530167,,C+,F,,,-
21530175,,F,F,,,-
21530181,,C+,F,,,-
21530185,C,F,,,F,-
21530189,,F,F,,,-
21530191,,C-,F,,F,-
21530192,F,F,,,F,-
21530193,,,F,,,-
21530195,,F,F,,F,-
21530198,,F,F,,,-
21530200,,F,Abs,,,-
21530203,,C,F,,,-
21530204,,C+,F,,,-
21530212,,C+,,B-,,-
21530220,,Abs,Abs,,,-
21530224,Abs,Abs,Abs,,,-
21530228,,Abs,F,,Abs,-
21530229,,F,F,,B,-
21530231,,,C+,,,-
21530236,,,,C,F,-
21530237,,C+,F,,B-,-
21530240,,,C+,,,-
21530241,,F,Abs,,Abs,-
21530242,,,C+,,,-
21530245,,,B,,,-
21530246,,C+,F,,Abs,-
21530248,,,F,,,-
21530249,,,Abs,Abs,Abs,-
21530251,,,C+,Expelled,,-
21530253,,B,F,,,-
21530254,,,,Abs,Abs,-
21530256,,Abs,,Abs,F,-
21530257,,,Abs,,,-
21530262,,F,F,,,-
21530266,,,C,,,-
21530267,Abs,,,B-,,-
21530268,,,C,,,-
21530269,,F,F,,C,-
21530270,,,F,C,,-
21530273,,Abs,Abs,,Abs,-
21530274,,,F,,,-
21530282,,,C+,,,-
21530283,,,F,,,-
21530285,,,Abs,,,-
21530286,,C+,F,,C-,-
21530287,,Abs,F,,,-
21530289,,C+,F,,,-
21530290,,,F,,,-
21530299,,,F,,,-
21530304,,F,F,,,-
21530305,,,F,,,-
21530306,,,F,F,,-
21535001,A-,B-,B,A-,A-,3.36
21535002,A-,A,A-,A-,A-,3.76
21535003,B,A,A,B,B+,3.46
21535004,A-,A-,A,A,A-,3.82
21535005,A-,A-,A,A-,B+,3.68
21535006,B+,A-,A,A-,C,3.34
21535007,B+,A-,C-,A-,B,3.08
21535008,B,C+,C-,B,B,2.6
21535009,C+,C-,F,F,F,-
21535010,B+,A,A,B+,B-,3.46
21535011,B-,F,F,C+,F,-
21535012,B+,A,C,A-,B-,3.14
21535013,B+,A,A,A,A-,3.8
21535014,B+,B+,C,B-,C+,2.72
21535015,B+,A-,A-,C+,B,3.2
21535016,B+,B,C,B,B,2.86
21535017,C+,C,F,C,F,-
21535018,B,B+,B+,B-,C+,2.92
21535019,C+,A,B+,C-,C+,2.72
21535020,C+,D+,F,C-,F,-
21535021,C+,B,F,C-,D+,-
21535022,B,A,A-,B+,A-,3.54
21535023,B,C+,B-,B,A-,2.94
21535024,C+,C,C-,C,B-,2.14
21535025,F,F,F,F,F,-
21535026,A,A,A,A-,A,3.94
21535027,A-,B-,F,C+,C+,-
21535028,B-,F,F,C+,C+,-
21535029,C,C-,F,C+,C,-
21535030,A-,F,F,A-,B+,-
21535031,B+,B+,B,B-,B+,3.12
21535032,A,A,A-,B+,A-,3.74
21535033,B+,C+,B,B,B-,2.86
21535034,B+,B+,B,B+,A-,3.32
21535035,B,C+,F,C+,C-,-
21535036,B-,C,F,B-,C,-
21535037,A-,F,F,C-,C,-
21535038,B-,B,B-,B-,A-,2.96
21535039,A-,B,A,A-,A-,3.62
21535040,B-,F,F,F,F,-
21535041,B-,F,F,C+,B-,-
21535042,B+,C-,F,B+,C,-
21535043,B+,B+,B+,C+,B,3.04
21535044,A-,A,A,A,A,3.94
21535045,B+,B,F,B-,B,-
21535047,B,C,F,C,F,-
21535048,B,C,F,B-,B-,-
21535049,A-,C,F,B+,A-,-
21535050,B,C+,Expelled,C+,C+,-
21535051,B,F,F,C,C,-
21535052,A,C+,F,B,B,-
21535053,A,A-,C+,B+,A,3.46
21535054,A-,C,F,B+,C+,-
21535055,A-,C,B-,C+,B+,2.8
21535056,C+,F,F,C-,F,-
21535057,NQ,NQ,NQ,NQ,NQ,-
21535058,B+,C+,F,C,C,-
21535060,B-,F,F,C,F,-
21535061,B,B-,C+,B-,B,2.74
21535062,B+,B-,F,B+,B+,-
21535063,B-,C+,F,F,F,-
21535064,B-,F,F,B-,B,-
21535065,A,A-,A-,A-,A,3.82
21535066,B,B,B,B,C+,2.86
21535067,C+,B,F,B-,C,-
21535068,B-,F,F,C+,F,-
21535069,B,C+,F,B-,C+,-
21535070,A-,B+,F,A-,B,-
21535071,B+,B,C+,C+,B-,2.72
21535072,A-,B+,B+,Abs,C,-
21535073,A-,A,A,A,A,3.94
21535074,B,B+,F,B+,C+,-
21535075,C+,C+,F,B-,B-,-
21535076,B,B-,B-,B-,B-,2.76
21535077,B,B-,F,B,C,-
21535078,A-,B+,B,B+,B+,3.32
21535079,A-,A-,A-,A-,B,3.56
21535080,B+,A-,B-,B,B-,3.08
21535081,B-,B-,F,C+,C-,-
21535082,Abs,Abs,Abs,Abs,Abs,-
21535083,B+,B+,B-,B,C-,2.8
21535084,A-,B,B,A-,B,3.28
21535085,B,F,F,C+,F,-
21535087,B-,A-,C+,B,B,2.94
21535088,C+,C+,F,C+,C+,-
21535089,A,A,A,B+,A,3.86
21535090,A,A,A,A,A,4
21535091,C,C,F,F,F,-
21535092,A-,A,B+,A-,A,3.74
21535093,B,B-,F,D+,C,-
21535094,A-,C+,F,A-,B-,-
21535095,C-,F,F,F,F,-
21535096,C+,F,F,D+,F,-
21535097,C-,C,F,D+,F,-
21535098,B,A,A,B+,B-,3.4
21535099,C+,F,F,C,C-,-
21535100,C+,D+,F,C-,C,-
21535101,C,D+,F,B-,C+,-
21535102,B-,C-,F,C-,D+,-
21535103,C+,C,F,Abs,C-,-
21535104,C+,C-,F,D+,C,-
21535105,D+,F,F,D+,F,-
21535106,B,F,F,F,F,-
21535107,C+,C,F,B,C+,-
21535108,D+,Abs,Abs,Abs,Abs,-
21535109,C,F,F,C-,B,-
21535110,C,F,F,F,F,-
21535111,F,F,F,F,F,-
21535112,F,C,F,F,F,-
21535113,C+,C+,C-,C+,C-,2.06
21535114,D,F,F,F,F,-
21535115,B-,F,F,C,C+,-
21535116,B+,F,F,C-,C+,-
21535117,C,F,F,D,Abs,-
21535118,B+,B+,C,C+,C,2.58
21535119,C+,F,F,C,F,-
21535120,B+,A,A-,C,C+,3.06
21535121,D+,C,F,D,F,-
21535122,B,B,B-,B-,B-,2.82
21535123,B-,C+,F,C,C,-
21535124,B,C-,F,B,B-,-
