Roll Number,Object Oriented Programming in C++,Data Structure and Algorithms,Systems Analysis and Design,Financial Accounting II,Microprocessor,SGPA
21535001,B-,C+,B+,C-,B-,2.54
21535002,C,B-,B-,NQ,B+,-
21535003,C-,C+,B-,NQ,B-,-
21535004,A,A-,A,B,A-,3.68
21535005,A-,B-,B-,C,C+,2.68
21535006,A,B+,A-,B+,A,3.66
21535007,A-,B+,A-,NQ,A,-
21535008,F,C+,B,NQ,F,-
21535009,F,F,C,NQ,C-,-
21535010,A,A-,A-,B,A,3.68
21535011,F,F,D+,NQ,F,-
21535012,C,F,B+,F,C-,-
21535013,A,A-,A,B-,A-,3.62
21535014,A,C+,B,D+,F,-
21535015,F,F,F,NQ,Abs,-
21535017,F,C,C-,NQ,F,-
21535018,F,F,C-,NQ,F,-
21535019,F,B-,C+,NQ,C+,-
21535020,F,C+,C,NQ,D+,-
21535021,F,C,C-,NQ,F,-
21535022,C+,B+,A-,C+,A-,3.06
21535023,F,B-,B+,D+,C,-
21535024,F,C+,B-,NQ,C-,-
21535026,A,A,A,A,A,4
21535028,F,F,C,Abs,F,-
21535029,F,F,F,F,F,-
21535030,F,B-,B,F,B-,-
21535031,A-,C,C,C,F,-
21535032,A,A-,B+,A-,B-,3.48
21535033,B-,F,C,F,F,-
21535034,A,A-,B+,C,F,-
21535036,F,F,F,F,F,-
21535037,F,F,C,F,F,-
21535038,F,B+,B,B-,F,-
21535039,B,C,F,F,F,-
21535040,Abs,Abs,Abs,Abs,Abs,-
21535041,C,F,F,F,F,-
21535042,F,F,F,F,F,-
21535043,A,B+,B,C,B,3.06
21535044,A,A,A-,A,A-,3.88
21535047,F,C,C,F,F,-
21535048,F,B-,B,F,F,-
21535049,F,C,B+,F,F,-
21535050,F,B-,C+,B,B-,-
21535051,F,C,C+,F,F,-
21535052,F,B,B+,F,F,-
21535053,B-,B-,B,F,B-,-
21535054,F,B+,B+,F,F,-
21535055,F,C+,C,B,C,-
21535056,F,C,F,F,F,-
21535058,A-,A-,A,B,A,3.68
21535060,F,C,C,F,F,-
21535061,F,A-,B,C+,C,-
21535062,F,A-,A,B-,B-,-
21535064,F,C+,C+,F,F,-
21535065,B+,A-,B+,A-,A-,3.54
21535066,C+,A,B+,C+,B-,2.92
21535067,F,B-,C+,F,F,-
21535068,Abs,NQ,Abs,Abs,NQ,-
21535069,F,Abs,Abs,F,F,-
21535070,F,B-,B-,F,F,-
21535071,Abs,Abs,Abs,F,F,-
21535072,F,C+,C,F,F,-
21535073,A-,A,A,A,A,3.94
21535074,F,F,B-,F,Abs,-
21535075,F,F,F,F,F,-
21535076,F,F,F,F,F,-
21535077,C,F,C,F,F,-
21535078,B-,B+,A-,B,B,3.14
21535079,C+,A-,A-,A-,A,3.48
21535080,C-,C+,B-,C,B-,2.28
21535081,F,F,F,F,F,-
21535083,B-,C,C+,B-,B,2.54
21535084,C,A-,A,A-,A,3.48
21535085,F,F,F,F,C+,-
21535087,C,B,C+,C,F,-
21535088,C,F,F,C,F,-
21535089,A-,A-,A,A-,A,3.82
21535090,A,A,A,A,A,4
21535091,C-,C-,C,F,F,-
21535092,A-,A-,A,B,A,3.68
21535093,F,F,C,F,F,-
21535094,Abs,C,B+,F,F,-
21535097,B,B-,A,A-,B-,3.22
21535098,A-,B+,A-,B+,B,3.4
21535099,F,F,F,F,F,-
21535100,F,F,D+,F,F,-
21535101,F,F,D+,F,C+,-
21535102,B-,F,C,F,F,-
21535103,F,F,C-,F,F,-
21535104,NQ,D+,D+,F,NQ,-
21535107,C-,F,C-,F,F,-
21535109,C+,C-,B,F,F,-
21535110,F,C-,C,F,F,-
21535111,F,F,D+,F,F,-
21535112,F,F,F,F,F,-
21535113,C,B,A-,B-,B,2.88
21535114,NQ,F,F,F,NQ,-
21535115,F,C-,C+,D+,F,-
21535116,Abs,Expelled,B-,F,F,-
21535118,C,A-,A-,B,B-,3.02
21535119,C,D+,F,F,NQ,-
21535120,B-,A-,A-,A,B-,3.36
21535121,F,F,D+,F,F,-
21535122,B-,A,A,B+,A,3.6
21535123,F,C,B+,F,F,-
21535124,D+,C,B,B+,C,2.32
21535125,B-,C,B+,F,C,-
21535126,F,D+,D+,F,NQ,-
21535127,B-,A,A,A-,B,3.48
21535128,NQ,F,B,F,F,-
21535129,C,C,B-,F,F,-
21535130,B+,A-,A,B-,A,3.54
21535131,C,B,B,C,C,2.4
21535132,F,F,C+,F,F,-
21535133,F,C+,B+,C-,F,-
21535134,NQ,F,F,F,F,-
21535135,C+,B-,C+,C+,B-,2.46
21535136,F,C,B-,C-,C,-
21535137,F,C-,B-,F,F,-
21535138,F,C,C+,D+,F,-
21535139,F,B,A-,C+,C+,-
21535140,F,C-,C+,D+,F,-
21535142,F,B,B,B,C,-
21535143,F,C-,C,B-,F,-
21535144,C,B-,B,B-,C,2.48
21535146,F,B-,C,F,F,-
21535147,B-,A-,A-,A,B+,3.48
21535148,C+,B+,B,B+,C,2.78
21535149,F,B+,B-,C+,C,-
21535150,A-,A-,B+,A-,C,3.28
21535151,F,F,F,NQ,F,-
21535152,A-,A-,A,C,C,3.08
21535153,F,B-,F,B+,F,-
21535154,C,B+,B,A-,F,-
21535155,B-,A,A,F,A,-
21535156,Abs,F,F,Abs,F,-
21535158,F,C+,C-,F,F,-
21535159,B-,A,A-,A-,A-,3.56
21535160,F,F,F,F,F,-
21535161,A-,A,A,A,A-,3.88
21535162,F,B,A-,B-,C+,-
21535163,F,Abs,Abs,Abs,Abs,-
21535164,F,Abs,B+,F,B+,-
21535165,F,F,C-,Abs,F,-
21535166,F,C-,C-,F,F,-
21535167,C,B,B+,A-,B,3
21535168,F,C,C+,F,C,-
21535169,F,F,Expelled,F,F,-
21535170,C,B,C+,C,C+,2.32
21535171,NQ,NQ,NQ,NQ,NQ,-
21535172,F,C-,C-,F,F,-
21535175,F,F,C+,C,F,-
21535176,F,C,C,B-,F,-
21535177,F,F,F,Abs,F,-
21535178,F,B+,B,A,B-,-
21535179,F,C,B-,B-,B-,-
21535180,A-,A,B,A,A,3.74
21535181,F,C+,F,B+,B-,-
21535182,F,C,C+,F,F,-
21535183,F,B+,B,B,A,-
21535184,F,C+,C+,B-,F,-
21535185,F,F,C,F,Abs,-
21535187,F,F,F,B,F,-
21535188,F,F,Abs,F,F,-
21535189,Abs,Abs,Abs,Abs,Abs,-
21535190,F,F,C+,C,B-,-
21535191,B+,A,B,A,A-,3.6
21535192,C+,C+,C,A,C+,2.58
21535193,F,C,C,C+,F,-
21535194,B-,C,C,C+,C,2.2
21535195,B,B,B,C,B,2.8
21535196,B-,B-,B,A,B+,3.14
21535197,CNR,CNR,CNR,CNR,CNR,-
21535198,C+,F,F,C+,F,-
21535199,C,C+,Expelled,F,F,-
21535200,C,B-,C+,B-,A,2.74
21535201,F,C,F,A-,F,-
21535202,C+,B-,B+,B-,A-,2.94
21535203,F,C,B-,F,F,-
21535204,F,F,C+,F,C+,-
21535205,F,F,C,F,C,-
21535206,B,B+,B-,A,A,3.4
21535207,C+,F,F,A-,B-,-
21535208,F,B,B-,B,F,-
21535209,F,B+,B+,A,A,-
21535211,F,C+,B-,B-,B-,-
21535212,C,B-,B,A-,A,3.08
