Roll Number,Numerical Methods,Visual Programming,Operating Systems,Database Management System,Computer Graphics,Project II,SGPA
21530001,F,,,,,,-
21530004,,,,,B-,,-
21530011,F,,,,,,-
21530044,,Abs,,,,,-
21530048,Abs,NQ,C-,NQ,D+,,-
21530051,,,,,B-,,-
21530053,Abs,,,,,,-
21530054,F,,,,,,-
21530060,F,,B,,,,-
21530075,,,,,Abs,,-
21530090,Abs,,,Abs,,,-
21530104,F,,,,C+,,-
21530147,,,,,F,,-
21530159,,,,,C,,-
21530162,,,,,C-,,-
21530164,Abs,Abs,F,Abs,Abs,B+,-
21530165,F,,,,,,-
21530167,F,,,,,,-
21530173,,,,,F,,-
21530175,,,,,B-,,-
21530179,,,,,B,,-
21530188,,,,,Abs,,-
21530191,,,,,C-,,-
21530194,,,B+,,,,-
21530195,,,,,F,,-
21530231,,,,,B-,,-
21530232,,,,,B,,-
21530271,,,,,F,,-
21530273,Abs,Abs,F,Abs,Abs,0,-
21530274,,Abs,,Abs,,,-
21530282,,,,,C+,,-
21530299,,,,,B,,-
21535001,F,Abs,C+,B,A-,A,-
21535002,C+,B,C+,B-,B+,A,2.89
21535003,B-,B+,C+,B,B+,A,3.06
21535004,B,A,A-,A,A,A,3.78
21535005,F,B,B,B,B+,A-,-
21535006,B-,A-,B,A,B+,A,3.41
21535007,F,A,B+,A-,A,A,-
21535008,F,C+,C,B-,B,A-,-
21535009,F,F,F,F,F,A-,-
21535010,F,A-,B,A-,A-,A,-
21535012,F,B,C,A-,B,A,-
21535013,C+,A,B+,A,A,A,3.60
21535014,F,C+,C,B-,C,A-,-
21535015,NQ,NQ,NQ,NQ,Abs,B-,-
21535018,F,F,C-,C+,B-,B+,-
21535019,F,C+,C+,B,B+,A,-
21535020,F,C-,C-,C,C,B+,-
21535021,F,F,C-,B-,C,A-,-
21535022,F,A-,B-,A-,B,A-,-
21535023,F,C+,C-,A-,B+,A-,-
21535024,C,C,C-,B-,A-,A-,2.63
21535026,A,A-,A-,A,A,A,3.90
21535028,F,F,F,F,F,A,-
21535029,F,C-,C+,C-,B-,A-,-
21535030,F,C+,B+,A-,B+,A,-
21535031,F,F,B-,C,B-,A,-
21535032,B-,B+,B+,B,B,A-,3.13
21535033,F,F,B+,C+,F,A,-
21535034,F,C+,A-,B,B,A,-
21535036,F,F,C+,C-,Abs,A,-
21535037,F,F,C+,C+,C,A-,-
21535038,F,B+,B-,A-,B-,A-,-
21535039,F,C-,C+,C+,C-,A,-
21535041,F,F,B-,C+,B-,A,-
21535042,F,F,F,F,F,A,-
21535043,F,B,C+,B,B-,A,-
21535044,A,A,A,A,A,A,4.00
21535047,F,F,F,C-,F,0,-
21535048,F,F,F,F,Abs,0,-
21535050,F,F,C+,F,F,A,-
